1	It's fucking cold and snowy outside! Cheer you up with a	-100	-15	1	37
2	It's fucking cold and cloudy outside! Cheer you up with a	-100	-15	38	44
3	The sky is clear but it's fucking cold! Cheer you up with a	-100	-15	45	46
4	It's fucking cold and snowy outside! Cheer you up with a	-15	-5	1	37
5	Everything cold and gray... Cheer you up with a	-15	-5	38	44
6	The sun is cold! Cheer you up with a	-15	-5	45	46
7	Brace yourself, winter is coming! Cheer you up with a	-5	0	1	37
8	Brace yourself, winter is coming! Cheer you up with a	-5	0	38	44
9	It's fricking cold, let's have a	-5	0	45	46
10	Meh, bad time for hunting, have a	0	10	1	37
11	Cold like a fucking fridge... Drink a	0	10	38	44
12	No clouds and cold time, perfect for a	0	10	45	46
13	Just watch tv and drink some	10	15	1	37
14	Time to cheer up with a	10	15	38	44
15	Perfect time for a	10	15	45	46
16	Bring a god damned coat and a	15	20	1	37
17	It's chilly, but no rainy.... Drink a	15	20	38	44
18	Love is everywhere! Let's drink a 	15	20	45	46
19	Under my umbrella, ella, ella, eh... Drinking a	20	30	1	37
20	Grab some tanning oil or a	20	30	38	44
21	Hot and sunny, perfect time for a	20	30	45	46
22	Moonsoon time... Wait with a	30	40	1	37
23	Bring a swim suit... Let's drink a	30	40	38	44
24	OMG! You're burning... Grab a 	30	40	45	46
25	WTF it's fucking raining! Drink some	40	100	1	37
26	Oh maaan! Cheer up with	40	100	38	44
27	Go topless bitches, the sun shines! Let's drink a	40	100	45	46
