1,Black Russian,,* 50ml (5 parts) Vodka * 20ml (2 parts) Coffee liqueur,Pour the ingredients into the old fashioned glass filled with ice cubes. Stir gently.,on the rocks,,Black Russian,-20,10,1,37
2,Cuba Libre,garnish with a pineapple wedge and 3 cherries.,*120 mL Cola *50 mL White rum *10 mL Fresh lime juice,Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.,on the rocks,lime wedge,Cuba Libre,15,40,42,46
3,Gin and tonic,,"Gin and tonic water, according to taste","In a glass filled with ice cubes, add gin and tonic.",on the rocks,A slice or wedge of lime,Gin and tonic,5,30,1,46
4,Manhattan,,*50ml rye or Canadian whisky *20ml Sweet red vermouth *Dash Angostura bitters *Maraschino cherry (Garnish),"Stirred over ice, strained into a chilled glass, garnished, and served straight up.",straight,cherry,Manhattan (cocktail),10,20,18,33
5,Mojito,,*4 cl (4 parts) White rum * 3 cl (3 parts) Fresh lime juice * 6 leaves of Mint * 2 teaspoons Sugar * Soda Water,Mint sprigs muddled with sugar and lime juice. Rum added and topped with soda water. Garnished with sprig of mint leaves. Served with a straw.,on the rocks,sprig of mint (Yerba buena in the original recipe),Mojito,20,40,42,46
6,Old Fashioned,,*4.5 cl Bourbon or Rye whiskey *2 dashes Angostura bitters *1 sugar cube *Few dashes plain water,"Place sugar cube in old fashioned glass and saturate with bitters, add a dash of plain water. Muddle until dissolved.  Fill the glass with ice cubes and add whiskey.  Garnish with orange slice, and a cocktail cherry.",on the rocks,* Orange slice * cocktail cherry,Old Fashioned,-10,15,1,40
7,Piña Colada,,*30 ml (one part) white rum *30 ml (one part) cream of coconut *90 ml (3 parts) pineapple juice,"Mix with crushed ice until smooth. Pour into chilled glass, garnish and serve.",blended,pineapple slice and maraschino cherry,Piña colada,20,50,40,46
8,Rob Roy,,*45ml Scotch whisky *25ml Sweet vermouth *Dash Angostura bitters,"Stirred over ice, strained into a chilled glass, garnished, and served straight up, or mixed in rocks glass, filled with ice.",straight up or on the rocks,Maraschino cherry or lemon twist,Rob Roy (cocktail),-40,10,16,23
9,Screwdriver,,*50 ml (1 part) vodka *100 ml (2 parts) orange juice,Mix in a highball glass with ice. Garnish and serve.,on the rocks,orange slice,Screwdriver (cocktail),-30,20,1,46
10,Tom Collins,,*45ml (3 parts) Old Tom Gin *30ml (2 parts) freshly squeezed lemon juice *15ml (1 part) sugar syrup *60ml (4 parts) carbonated water to taste,"Mix the gin, lemon juice and sugar syrup in a tall glass with ice, top up with soda water, garnish and serve.",on the rocks,Lemon slice and maraschino cherry,Tom Collins,-10,30,30,46
